"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"ak","alaska","Hillary Clinton","-","-","0",NA
"ak","alaska","Donald Trump","-","-","0",NA
"ak","alaska","Jill Stein","-","-","0",NA
"ak","alaska","Gary Johnson","-","-","0",NA
"ak","alaska","Other","-","-","0",NA
"ak","aleutians east borough",NA,NA,NA,NA,2013
"ak","aleutians west census area",NA,NA,NA,NA,2016
"ak","anchorage municipality",NA,NA,NA,NA,2020
"ak","bethel census area",NA,NA,NA,NA,2050
"ak","bristol bay borough",NA,NA,NA,NA,2060
"ak","denali borough",NA,NA,NA,NA,2068
"ak","dillingham census area",NA,NA,NA,NA,2070
"ak","fairbanks north star borough",NA,NA,NA,NA,2090
"ak","haines borough",NA,NA,NA,NA,2100
"ak","hoonah-angoon census area",NA,NA,NA,NA,2105
"ak","juneau city and borough",NA,NA,NA,NA,2110
"ak","kenai peninsula borough",NA,NA,NA,NA,2122
"ak","ketchikan gateway borough",NA,NA,NA,NA,2130
"ak","kodiak island borough",NA,NA,NA,NA,2150
"ak","lake and peninsula borough",NA,NA,NA,NA,2164
"ak","matanuska-susitna borough",NA,NA,NA,NA,2170
"ak","nome census area",NA,NA,NA,NA,2180
"ak","north slope borough",NA,NA,NA,NA,2185
"ak","northwest arctic borough",NA,NA,NA,NA,2188
"ak","petersburg census area",NA,NA,NA,NA,2195
"ak","prince of wales-hyder census area",NA,NA,NA,NA,2198
"ak","sitka city and borough",NA,NA,NA,NA,2220
"ak","skagway municipality",NA,NA,NA,NA,2230
"ak","southeast fairbanks census area",NA,NA,NA,NA,2240
"ak","valdez-cordova census area",NA,NA,NA,NA,2261
"ak","wade hampton census area",NA,NA,NA,NA,2270
"ak","wrangell city and borough",NA,NA,NA,NA,2275
"ak","yakutat city and borough",NA,NA,NA,NA,2282
"ak","yukon-koyukuk census area",NA,NA,NA,NA,2290
"al","autauga","Donald Trump","6,001","77.2%","40",1001
"al","autauga","Gary Johnson","174","2.2%","40",1001
"al","autauga","Jill Stein","26","0.3%","40",1001
"al","autauga","Hillary Clinton","1,577","20.3%","40",1001
"al","baldwin",NA,NA,NA,NA,1003
"al","baldwin.","Donald Trump","914","83.1%","42",NA
"al","baldwin.","Hillary Clinton","164","14.9%","42",NA
"al","baldwin.","Gary Johnson","11","1.0%","42",NA
"al","baldwin.","Jill Stein","11","1.0%","42",NA
"al","barbour","Jill Stein","-","-","0",1005
"al","barbour","Gary Johnson","-","-","0",1005
"al","barbour","Donald Trump","-","-","0",1005
"al","barbour","Hillary Clinton","-","-","0",1005
"al","bibb","Donald Trump","2,745","68.6%","50",1007
"al","bibb","Jill Stein","7","0.2%","50",1007
"al","bibb","Gary Johnson","45","1.1%","50",1007
"al","bibb","Hillary Clinton","1,207","30.1%","50",1007
"al","blount",NA,NA,NA,NA,1009
"al","blount.","Donald Trump","1,240","87.5%","77",NA
"al","blount.","Hillary Clinton","137","9.7%","77",NA
"al","blount.","Gary Johnson","35","2.5%","77",NA
"al","blount.","Jill Stein","5","0.4%","77",NA
"al","bullock","Hillary Clinton","-","-","0",1011
"al","bullock","Donald Trump","-","-","0",1011
"al","bullock","Gary Johnson","-","-","0",1011
"al","bullock","Jill Stein","-","-","0",1011
"al","butler",NA,NA,NA,NA,1013
"al","butler.","Donald Trump","1,817","72.6%","458",NA
"al","butler.","Hillary Clinton","663","26.5%","458",NA
"al","butler.","Gary Johnson","19","0.8%","458",NA
"al","butler.","Jill Stein","3","0.1%","458",NA
"al","calhoun",NA,NA,NA,NA,1015
"al","calhoun.","Donald Trump","4,200","57.4%","234",NA
"al","calhoun.","Hillary Clinton","2,921","39.9%","234",NA
"al","calhoun.","Gary Johnson","161","2.2%","234",NA
"al","calhoun.","Jill Stein","38","0.5%","234",NA
"al","chambers","Hillary Clinton","-","-","0",1017
"al","chambers","Gary Johnson","-","-","0",1017
"al","chambers","Jill Stein","-","-","0",1017
"al","chambers","Donald Trump","-","-","0",1017
"al","cherokee","Hillary Clinton","-","-","0",1019
"al","cherokee","Donald Trump","-","-","0",1019
"al","cherokee","Jill Stein","-","-","0",1019
"al","cherokee","Gary Johnson","-","-","0",1019
"al","chilton","Hillary Clinton","-","-","0",1021
"al","chilton","Jill Stein","-","-","0",1021
"al","chilton","Gary Johnson","-","-","0",1021
"al","chilton","Donald Trump","-","-","0",1021
"al","choctaw",NA,NA,NA,NA,1023
"al","choctaw.","Donald Trump","3,197","67.7%","647",NA
"al","choctaw.","Hillary Clinton","1,484","31.4%","647",NA
"al","choctaw.","Gary Johnson","37","0.8%","647",NA
"al","choctaw.","Jill Stein","4","0.1%","647",NA
"al","clarke","Donald Trump","-","-","0",1025
"al","clarke","Jill Stein","-","-","0",1025
"al","clarke","Gary Johnson","-","-","0",1025
"al","clarke","Hillary Clinton","-","-","0",1025
"al","clay","Donald Trump","-","-","0",1027
"al","clay","Hillary Clinton","-","-","0",1027
"al","clay","Jill Stein","-","-","0",1027
"al","clay","Gary Johnson","-","-","0",1027
"al","cleburne","Donald Trump","-","-","0",1029
"al","cleburne","Gary Johnson","-","-","0",1029
"al","cleburne","Jill Stein","-","-","0",1029
"al","cleburne","Hillary Clinton","-","-","0",1029
"al","coffee",NA,NA,NA,NA,1031
"al","coffee.","Donald Trump","2,520","83.3%","258",NA
"al","coffee.","Hillary Clinton","459","15.2%","258",NA
"al","coffee.","Gary Johnson","41","1.4%","258",NA
"al","coffee.","Jill Stein","4","0.1%","258",NA
"al","colbert","Jill Stein","-","-","0",1033
"al","colbert","Hillary Clinton","-","-","0",1033
"al","colbert","Gary Johnson","-","-","0",1033
"al","colbert","Donald Trump","-","-","0",1033
"al","conecuh","Hillary Clinton","-","-","0",1035
"al","conecuh","Jill Stein","-","-","0",1035
"al","conecuh","Donald Trump","-","-","0",1035
"al","conecuh","Gary Johnson","-","-","0",1035
"al","coosa","Hillary Clinton","-","-","0",1037
"al","coosa","Donald Trump","-","-","0",1037
"al","coosa","Jill Stein","-","-","0",1037
"al","coosa","Gary Johnson","-","-","0",1037
"al","covington",NA,NA,NA,NA,1039
"al","covington.","Donald Trump","8,517","83.0%","741",NA
"al","covington.","Hillary Clinton","1,600","15.6%","741",NA
"al","covington.","Gary Johnson","124","1.2%","741",NA
"al","covington.","Jill Stein","24","0.2%","741",NA
"al","crenshaw","Jill Stein","7","0.4%","40",1041
"al","crenshaw","Gary Johnson","20","1.0%","40",1041
"al","crenshaw","Hillary Clinton","303","15.3%","40",1041
"al","crenshaw","Donald Trump","1,651","83.3%","40",1041
"al","cullman",NA,NA,NA,NA,1043
"al","cullman.","Donald Trump","20,044","88.5%","706",NA
"al","cullman.","Hillary Clinton","2,121","9.4%","706",NA
"al","cullman.","Gary Johnson","414","1.8%","706",NA
"al","cullman.","Jill Stein","70","0.3%","706",NA
"al","dale","Donald Trump","-","-","0",1045
"al","dale","Gary Johnson","-","-","0",1045
"al","dale","Hillary Clinton","-","-","0",1045
"al","dale","Jill Stein","-","-","0",1045
"al","dallas","Gary Johnson","-","-","0",1047
"al","dallas","Jill Stein","-","-","0",1047
"al","dallas","Hillary Clinton","-","-","0",1047
"al","dallas","Donald Trump","-","-","0",1047
"al","dekalb",NA,NA,NA,NA,1049
"al","dekalb.","Donald Trump","8,467","84.3%","358",NA
"al","dekalb.","Hillary Clinton","1,337","13.3%","358",NA
"al","dekalb.","Gary Johnson","177","1.8%","358",NA
"al","dekalb.","Jill Stein","67","0.7%","358",NA
"al","elmore","Donald Trump","-","-","0",1051
"al","elmore","Jill Stein","-","-","0",1051
"al","elmore","Gary Johnson","-","-","0",1051
"al","elmore","Hillary Clinton","-","-","0",1051
"al","escambia",NA,NA,NA,NA,1053
"al","escambia.","Donald Trump","2,603","79.3%","226",NA
"al","escambia.","Hillary Clinton","628","19.1%","226",NA
"al","escambia.","Gary Johnson","44","1.3%","226",NA
"al","escambia.","Jill Stein","7","0.2%","226",NA
